iteration,total_return_pct,annual_return_pct,win_rate_pct,max_drawdown_pct,sharpe_ratio,total_trades,params
81,72.19031,9.486790816324486,54.06976744186046,-30.44286871951965,0.5738697772647466,172,"{'percentile_window': 40, 'long_entry_pct': 0.22377872115895026, 'short_entry_pct': 0.6271795486251133, 'atr_stop_mult': 1.7961414432214609, 'max_hold_days': 8}"
82,65.47609000000001,8.76291652297294,53.293413173652695,-30.519447542998783,0.5348816743289234,167,"{'percentile_window': 42, 'long_entry_pct': 0.24005110363813997, 'short_entry_pct': 0.7005633410362975, 'atr_stop_mult': 1.4706002388288932, 'max_hold_days': 6}"
83,90.802875,11.377171023724841,55.00000000000001,-30.846300308761247,0.6866782264829251,160,"{'percentile_window': 39, 'long_entry_pct': 0.2969064008852851, 'short_entry_pct': 0.7725890483583222, 'atr_stop_mult': 1.8855582191216094, 'max_hold_days': 7}"
84,100.18691,12.272576652096468,55.68181818181818,-30.44286871951965,0.7239979856075566,176,"{'percentile_window': 35, 'long_entry_pct': 0.39839425173902865, 'short_entry_pct': 0.661959293603308, 'atr_stop_mult': 1.7981850049124086, 'max_hold_days': 6}"
85,78.25693,10.120894057068309,54.054054054054056,-30.979991622531966,0.6037911481544882,185,"{'percentile_window': 33, 'long_entry_pct': 0.20700430255529803, 'short_entry_pct': 0.6225743872512598, 'atr_stop_mult': 1.622510073272578, 'max_hold_days': 8}"
86,94.10443499999998,11.696300872594367,56.287425149700596,-30.311659119720346,0.6931591754592347,167,"{'percentile_window': 32, 'long_entry_pct': 0.3478635957732251, 'short_entry_pct': 0.7668171948374205, 'atr_stop_mult': 1.7384874025659376, 'max_hold_days': 7}"
87,89.32149999999997,11.232483349849943,56.33802816901409,-32.87649050187535,0.6622530578413559,142,"{'percentile_window': 48, 'long_entry_pct': 0.2428027592308465, 'short_entry_pct': 0.7311606602566981, 'atr_stop_mult': 1.8673307161357053, 'max_hold_days': 5}"
88,104.34694,12.658367387814007,56.25,-30.44286871951965,0.7435741750491247,176,"{'percentile_window': 36, 'long_entry_pct': 0.3497093763825535, 'short_entry_pct': 0.6693748406312723, 'atr_stop_mult': 1.4388663839207578, 'max_hold_days': 8}"
89,93.93816499999998,11.680337730558321,55.333333333333336,-33.09329377723783,0.6824047052734927,150,"{'percentile_window': 43, 'long_entry_pct': 0.2057800386191655, 'short_entry_pct': 0.7348345389934328, 'atr_stop_mult': 1.7107711601769677, 'max_hold_days': 8}"
90,104.52675,12.674894467299168,56.29139072847682,-30.519447542998783,0.777104666669131,151,"{'percentile_window': 45, 'long_entry_pct': 0.2527460118986254, 'short_entry_pct': 0.6411546721071728, 'atr_stop_mult': 1.0642194037339006, 'max_hold_days': 7}"
91,109.18578,13.098961432284328,56.287425149700596,-30.44286871951965,0.7808764454199039,167,"{'percentile_window': 37, 'long_entry_pct': 0.26244491092380673, 'short_entry_pct': 0.663210227797618, 'atr_stop_mult': 1.7593339735212132, 'max_hold_days': 5}"
92,71.01044,9.361310245364285,54.794520547945204,-33.09329377723783,0.5645503771530285,146,"{'percentile_window': 45, 'long_entry_pct': 0.2892007894803491, 'short_entry_pct': 0.752064233309772, 'atr_stop_mult': 1.6652590285091922, 'max_hold_days': 8}"
93,75.443735,9.829122486888542,53.503184713375795,-33.09329377723783,0.5821042413704514,157,"{'percentile_window': 43, 'long_entry_pct': 0.36776068272085777, 'short_entry_pct': 0.7850628093451919, 'atr_stop_mult': 1.9459168758379661, 'max_hold_days': 8}"
94,85.87447,10.89212096757175,55.9748427672956,-32.70961778791593,0.6401715982812376,159,"{'percentile_window': 34, 'long_entry_pct': 0.3332410908067731, 'short_entry_pct': 0.7905070505217526, 'atr_stop_mult': 1.2495741944003504, 'max_hold_days': 6}"
95,75.073445,9.790427924477886,53.75,-33.09329377723783,0.5801876010443209,160,"{'percentile_window': 43, 'long_entry_pct': 0.37221600922723164, 'short_entry_pct': 0.7688745058493255, 'atr_stop_mult': 1.408661489287367, 'max_hold_days': 7}"
96,84.73741,10.778693040302478,55.172413793103445,-30.519447542998783,0.6422805151855779,174,"{'percentile_window': 36, 'long_entry_pct': 0.35051264175171476, 'short_entry_pct': 0.7531738313529804, 'atr_stop_mult': 1.2197134670700303, 'max_hold_days': 9}"
97,81.088865,10.410759537152469,54.729729729729726,-33.09329377723783,0.6224682751866756,148,"{'percentile_window': 46, 'long_entry_pct': 0.2659239131100181, 'short_entry_pct': 0.7444845121071288, 'atr_stop_mult': 1.5129715241745547, 'max_hold_days': 9}"
98,91.920725,11.485734411321836,55.15151515151515,-30.519447542998783,0.6841014455335187,165,"{'percentile_window': 47, 'long_entry_pct': 0.2331045962368908, 'short_entry_pct': 0.6195306037088567, 'atr_stop_mult': 1.6841430740441186, 'max_hold_days': 6}"
99,96.40893500000001,11.916384762576747,54.65116279069767,-30.519447542998783,0.7145125804786283,172,"{'percentile_window': 40, 'long_entry_pct': 0.39609905825344766, 'short_entry_pct': 0.6888684827113299, 'atr_stop_mult': 1.6059850360531454, 'max_hold_days': 9}"
