symbol,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,hold_days,exit_reason,capital_after
TA,多,2020-09-10,2020-09-21,3654.0,3596.0,1,-302.6875,11,超时11天,8821.77038172309
RM,空,2020-09-15,2020-09-25,2451.0,2373.0,1,763.116,10,超时10天,9584.88638172309
M,空,2020-09-15,2020-09-25,3114.0,3078.0,1,338.328,10,超时10天,9923.21438172309
RM,多,2020-09-30,2020-10-09,2323.0,2434.1788857142856,1,1095.1387310428556,9,ATR止盈,11018.353112765946
MA,多,2020-09-30,2020-10-12,1976.0,2027.0,1,495.9895,12,超时12天,11514.342612765946
M,空,2020-10-21,2020-11-02,3283.0,3174.0,1,1067.4005,12,超时12天,12581.743112765946
MA,多,2020-10-27,2020-11-06,2001.0,2080.0,1,775.7165,10,超时10天,13357.459612765946
RM,空,2020-10-28,2020-11-09,2492.0,2510.0,1,-197.507,12,超时12天,13159.952612765946
RM,多,2020-11-17,2020-11-20,2458.0,2562.777314285714,1,1030.2004222571406,3,ATR止盈,14190.153035023088
M,多,2020-11-11,2020-11-23,3165.0,3270.918714285714,1,1036.6614273571404,12,ATR止盈,15226.814462380229
MA,空,2020-11-16,2020-11-26,2251.0,2230.0,1,194.3165,10,超时10天,15421.13096238023
M,多,2020-12-02,2020-12-03,3171.0,3067.4381484857145,1,-1057.4530486625554,1,硬止损,14363.677913717675
TA,空,2020-11-26,2020-12-04,3486.0,3631.1818971999996,1,-738.3645543200983,8,硬止损,13625.313359397576
MA,空,2020-11-27,2020-12-07,2229.0,2243.0,1,-155.652,10,超时10天,13469.661359397576
RM,多,2020-12-04,2020-12-14,2475.0,2482.0,1,52.6505,10,超时10天,13522.311859397576
TA,空,2020-12-07,2020-12-17,3706.0,3874.8979411999994,1,-857.7562773970972,10,硬止损,12664.55558200048
M,多,2020-12-08,2020-12-18,3094.0,3194.6187999999997,1,984.1778341999974,10,ATR止盈,13648.733416200477
MA,空,2020-12-17,2020-12-28,2494.0,2373.5012,1,1187.9517457999984,11,ATR止盈,14836.685162000476
TA,空,2020-12-18,2020-12-28,3866.0,3770.0,1,466.637,10,超时10天,15303.322162000477
RM,空,2020-12-22,2020-12-31,2711.0,2818.2147421999994,1,-1091.4996735976936,9,硬止损,14211.822488402784
M,空,2020-12-29,2020-12-31,3313.0,3441.8152625999996,1,-1311.7944794190964,2,硬止损,12900.028008983687
RM,空,2020-12-31,2020-12-31,2883.0,2883.0,1,-20.181,0,回测结束,12879.847008983686
M,空,2020-12-31,2020-12-31,3479.0,3479.0,1,-24.352999999999998,0,回测结束,12855.494008983687
TA,空,2021-02-22,2021-02-23,4298.0,4491.346459599999,1,-982.1136543042971,1,硬止损,9017.886345695702
MA,空,2021-02-23,2021-02-25,2435.0,2553.3234869999997,1,-1200.6940022044967,2,硬止损,7817.192343491206
TA,空,2021-02-24,2021-02-25,4564.0,4791.9857128,1,-1156.3015389974016,1,硬止损,6660.890804493804
TA,空,2021-02-26,2021-03-02,4938.0,4687.0124000000005,1,1238.0942282999974,4,ATR止盈,7898.985032793802
MA,空,2021-02-26,2021-03-08,2528.0,2657.5605056,1,-1313.7545177695995,10,硬止损,6585.230515024203
TA,空,2021-03-05,2021-03-08,4620.0,4856.775924,1,-1200.463977866998,3,硬止损,5384.766537157205
MA,空,2021-03-09,2021-03-11,2600.0,2422.7657142857142,1,1754.7631771428576,2,ATR止盈,7139.529714300063
RM,多,2021-03-03,2021-03-15,2824.0,2679.5529648,1,-1463.7327873767986,12,硬止损,5675.7969269232635
TA,空,2021-03-09,2021-03-19,4754.0,4386.192057142857,1,1823.0443781857136,10,ATR止盈,7498.841305108977
MA,多,2021-03-22,2021-04-01,2321.0,2381.0,1,583.543,10,超时10天,8082.384305108977
TA,多,2021-03-25,2021-04-06,4366.0,4618.0,1,1244.278,12,超时12天,9326.662305108977
RM,空,2021-04-02,2021-04-12,2985.0,2905.0,1,779.385,10,超时10天,10106.047305108978
M,空,2021-04-02,2021-04-12,3525.0,3453.0,1,695.577,10,超时10天,10801.624305108977
MA,多,2021-04-13,2021-04-15,2356.0,2466.8997714285715,1,1092.1175650857151,2,ATR止盈,11893.741870194692
RM,多,2021-04-15,2021-04-20,2795.0,2950.2732857142855,1,1532.624400642855,5,ATR止盈,13426.366270837547
TA,空,2021-04-16,2021-04-26,4706.0,4628.0,1,373.6655,10,超时10天,13800.031770837546
MA,多,2021-04-26,2021-04-30,2375.0,2491.3321428571426,1,1146.2892660714258,4,ATR止盈,14946.321036908972
M,空,2021-04-21,2021-05-06,3579.0,3669.0,1,-925.368,15,超时15天,14020.953036908972
TA,空,2021-04-29,2021-05-10,4880.0,4896.0,1,-97.108,11,超时11天,13923.845036908971
RM,空,2021-05-07,2021-05-17,3121.0,2969.3758000000003,1,1494.9256846999974,10,ATR止盈,15418.77072160897
M,空,2021-05-07,2021-05-17,3672.0,3606.0,1,634.527,10,超时10天,16053.29772160897
MA,空,2021-05-13,2021-05-20,2727.0,2584.0260285714285,1,1411.1511231857153,7,ATR止盈,17464.448844794686
TA,多,2021-05-24,2021-06-03,4630.0,4802.0,1,843.494,10,超时10天,18307.942844794685
RM,多,2021-05-24,2021-06-03,2925.0,3025.0,1,979.175,10,超时10天,19287.117844794684
M,多,2021-05-24,2021-06-03,3528.0,3604.0,1,735.038,10,超时10天,20022.155844794685
RM,多,2021-06-07,2021-06-09,2943.0,3063.302885714286,1,1182.0067970428581,2,ATR止盈,21204.16264183754
TA,多,2021-06-11,2021-06-16,4660.0,4858.932,1,978.0018689999989,5,ATR止盈,22182.16451083754
MA,多,2021-06-07,2021-06-17,2512.0,2498.0,1,-157.535,10,超时10天,22024.62951083754
M,多,2021-06-07,2021-06-17,3555.0,3432.5672824285716,1,-1248.7836612027838,10,硬止损,20775.84584963476
RM,多,2021-06-17,2021-06-18,2905.0,2765.222438142857,1,-1417.6213971049315,1,硬止损,19358.224452529827
MA,多,2021-06-18,2021-06-28,2486.0,2545.0,1,572.3915,10,超时10天,19930.615952529828
M,多,2021-06-18,2021-06-28,3427.0,3448.0,1,185.9375,10,超时10天,20116.553452529828
TA,空,2021-06-28,2021-07-06,5166.0,5425.882233199999,1,-1317.9469599080953,8,硬止损,18798.606492621733
TA,空,2021-07-07,2021-07-08,5346.0,5046.073657142857,1,1481.445585385715,1,ATR止盈,20280.052078007448
M,空,2021-07-09,2021-07-19,3563.0,3698.9793125999995,1,-1385.210053594095,10,硬止损,18894.842024413352
RM,空,2021-07-13,2021-07-19,3002.0,3137.8780003999996,1,-1380.2695770013956,6,硬止损,17514.572447411956
M,空,2021-07-20,2021-07-23,3700.0,3564.5457142857144,1,1329.1169471428557,3,ATR止盈,18843.68939455481
RM,空,2021-07-20,2021-07-26,3075.0,2939.385,1,1335.0996524999978,6,ATR止盈,20178.789047054808
MA,空,2021-07-20,2021-07-30,2732.0,2769.0,1,-389.2535,10,超时10天,19789.53554705481
TA,空,2021-07-30,2021-08-05,5500.0,5167.185714285715,1,1645.403853571424,6,ATR止盈,21434.939400626234
RM,多,2021-08-06,2021-08-16,2933.0,2969.0,1,339.343,10,超时10天,21774.282400626234
M,多,2021-08-06,2021-08-16,3561.0,3639.0,1,754.8,10,超时10天,22529.082400626234
